CoCo壹番屋 公館台大店,200-300,咖哩飯,null,null,公館
十二巷拉麵,100-200,日式拉麵,null,null,公館
極麵屋-豚骨/公館拉麵/丼飯,100-200,日式拉麵,null,null,公館
Mr.拉麵野崎家,100-200,日式拉麵,null,null,公館
京阪豚骨拉麵/公館商圈優質店家/拉麵/,100-200,日式拉麵,null,null,公館
頑固石板料理 拉麵 蛋包飯,100-200,日式拉麵,排餐,蛋包飯,公館
鷹流東京豚骨拉麵-極匠,200-300,日式拉麵,null,null,公館
山嵐拉麵 公館店,200-400,日式拉麵,null,null,公館
力量拉麵（公館店）,200-300,日式拉麵,null,null,公館
墨洋拉麵,100-300,日式拉麵,null,null,公館
季丼屋 - 日本丼飯,0-200,日式丼飯,null,null,公館
萃茶風·大享食,100-200,日式丼飯,麵類,null,公館
蔥丼,100-200,日式丼飯,null,null,公館
秀食屋Shows House -關東煮專賣店,0-100,關東煮,null,null,公館
吉野家 台大店,100-200,日式丼飯,null,null,公館
初牛 台北公館店,100-300,日式丼飯,null,null,公館
大盛豬排專門店,200-300,日式豬排飯,null,null,公館
竹の丼飯屋,0-100,日式丼飯,null,null,公館
源士林粥品(汀州店),0-100,粥,null,null,公館
魯肉飯香,0-100,飯類,麵類,null,公館
順園小館,100-300,麵類,飯類,火鍋,公館
台大牛莊,0-200,麵類,飯類,null,公館
茗香園冰室 - 公館店,100-200,港式料理,null,null,公館
壹森泰食堂~師大第一腿(公館店）,100-200,飯類,null,null,公館
油夠飯濺 炒飯店,0-100,飯類,null,null,公館
YU POKÉ-夏威夷生魚飯,0-200,夏威夷生魚飯,null,null,公館
Miss Energy 能量小姐,100-200,飯類,null,null,公館
JJ's POKE & CAFE 鮮魚沙拉飯,100-200,夏威夷生魚飯,null,null,公館
LULU Poke & Hotpot 夏威夷沙拉拌飯 & 健康小火鍋,100-200,夏威夷生魚飯,火鍋,null,公館
喜禾嘉,0-100,飯類,null,null,公館
大水元,0-100,飯類,null,null,公館
峨嵋川菜,200-300,四川料理,null,null,公館
蕭家傳統小吃,0-100,飯類,null,null,公館
鑫吉野烤肉飯公館店,0-100,飯類,null,null,公館
三米三小館,100-300,飯類,null,null,公館
維綸麵食館,100-200,麵類,飯類,null,公館
台南意麵※羊肉乾麵,0-100,麵類,null,null,公館
麻辣巴蕾重慶酸辣粉,0-200,四川料理,麵類,null,公館
大鼎膳食湯麵館,0-100,麵類,水餃,null,公館
劉記川味牛肉麵,0-200,麵類,null,null,公館
中華經濟研究院餐廳,0-100,飯類,null,null,公館
